,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1103,-4.0,-11.0,1.0,-5.0,22.0,33.0,14.0,0.0,8.0,-2.0,-1.0,-5.0,-28.0,-37.0,4.0,6.0,17.0,5.0,3.0,15.0,-4.0,-24.0,-9.0,5.0,-9.0,-3.0,-3.0,-9.0,10.0,-3.0,-30.0,-28.0,-8.0,1.0,3.0,16.0,-1.0,34.0,9.0,-9.0,-12.0,0.0,-3.0,-6.0,22.0,78.0,31.0,-14.0,11.0,7.0,4.0,16.0,10.0,-47.0,-5.0,-4.0,-4.0,0.0,-4.0,-15.0,-33.0,-2.0,10.0,8.0,3
2497,-6.0,-5.0,-1.0,1.0,0.0,8.0,0.0,10.0,4.0,-4.0,-3.0,0.0,9.0,0.0,-4.0,-19.0,-2.0,1.0,1.0,-1.0,-5.0,-22.0,-2.0,-7.0,4.0,-3.0,-4.0,-2.0,17.0,19.0,4.0,-3.0,-9.0,-1.0,-2.0,-2.0,-33.0,-42.0,-2.0,-17.0,1.0,-3.0,-2.0,-2.0,30.0,20.0,-5.0,-7.0,1.0,1.0,3.0,2.0,3.0,25.0,10.0,14.0,-4.0,0.0,1.0,1.0,-2.0,19.0,0.0,-6.0,3
1690,30.0,3.0,2.0,1.0,-18.0,-28.0,-2.0,17.0,-11.0,2.0,5.0,7.0,13.0,78.0,19.0,-8.0,19.0,1.0,-4.0,-6.0,-8.0,-27.0,-9.0,4.0,2.0,0.0,-2.0,-2.0,11.0,16.0,-1.0,-22.0,-6.0,-1.0,-2.0,-1.0,-10.0,-4.0,-4.0,-7.0,-2.0,-2.0,-4.0,-7.0,-15.0,-34.0,-9.0,16.0,-4.0,1.0,3.0,2.0,11.0,-19.0,-6.0,-12.0,1.0,1.0,3.0,2.0,6.0,26.0,9.0,32.0,3
1430,33.0,-6.0,-4.0,-2.0,-4.0,-4.0,5.0,6.0,-47.0,-15.0,-3.0,-9.0,11.0,-20.0,-5.0,-11.0,12.0,-6.0,-5.0,-1.0,-4.0,-5.0,2.0,-14.0,23.0,3.0,6.0,12.0,5.0,55.0,16.0,48.0,-19.0,-5.0,2.0,0.0,-13.0,-21.0,-12.0,9.0,27.0,14.0,1.0,-3.0,-5.0,64.0,20.0,-4.0,-14.0,-14.0,-1.0,6.0,3.0,-64.0,-14.0,-15.0,-4.0,-2.0,-2.0,-2.0,5.0,-23.0,-2.0,-17.0,3
842,6.0,10.0,10.0,5.0,7.0,18.0,30.0,7.0,-6.0,-4.0,2.0,16.0,20.0,12.0,1.0,-2.0,8.0,-2.0,-4.0,-10.0,6.0,14.0,-2.0,3.0,0.0,1.0,-1.0,2.0,-20.0,-15.0,13.0,3.0,-4.0,-3.0,-4.0,-4.0,3.0,-11.0,-8.0,-3.0,-1.0,-1.0,-1.0,3.0,10.0,-44.0,-6.0,-5.0,-4.0,-1.0,-2.0,-6.0,-4.0,11.0,-17.0,-6.0,6.0,-9.0,-2.0,-12.0,5.0,-43.0,11.0,9.0,3
1066,-12.0,3.0,0.0,-11.0,-2.0,-34.0,-11.0,-17.0,-9.0,4.0,-3.0,-9.0,-23.0,-23.0,-3.0,19.0,5.0,-1.0,-2.0,-5.0,13.0,1.0,-16.0,-4.0,9.0,0.0,-4.0,-15.0,-2.0,30.0,19.0,-5.0,-12.0,0.0,-3.0,6.0,13.0,-4.0,-15.0,16.0,-14.0,-2.0,2.0,10.0,25.0,22.0,0.0,-26.0,21.0,5.0,-4.0,1.0,-2.0,-82.0,-15.0,-18.0,-18.0,-12.0,3.0,9.0,30.0,100.0,28.0,14.0,3
1377,-20.0,-6.0,-4.0,-5.0,-4.0,-33.0,-7.0,-1.0,17.0,2.0,2.0,-3.0,-8.0,-14.0,-7.0,-2.0,4.0,-10.0,-4.0,0.0,1.0,-45.0,-15.0,-4.0,6.0,6.0,7.0,9.0,10.0,86.0,18.0,-20.0,5.0,2.0,3.0,1.0,-11.0,-39.0,-20.0,10.0,-9.0,-2.0,-3.0,0.0,-1.0,4.0,24.0,-11.0,-8.0,-2.0,1.0,1.0,3.0,-14.0,-5.0,9.0,5.0,7.0,1.0,3.0,10.0,5.0,8.0,-7.0,3
2125,-5.0,-6.0,-6.0,-8.0,10.0,-19.0,-7.0,-7.0,-1.0,0.0,-3.0,-4.0,-2.0,6.0,-3.0,-4.0,-1.0,-1.0,-2.0,-2.0,25.0,-21.0,-3.0,-2.0,1.0,6.0,10.0,6.0,-68.0,-19.0,10.0,4.0,-3.0,-1.0,-4.0,-3.0,-5.0,-15.0,-4.0,-1.0,1.0,-4.0,-4.0,0.0,16.0,13.0,-1.0,0.0,1.0,1.0,3.0,4.0,8.0,40.0,2.0,4.0,-10.0,-2.0,-2.0,-2.0,26.0,30.0,-1.0,-3.0,3
1570,8.0,-2.0,0.0,4.0,37.0,65.0,13.0,8.0,-3.0,-3.0,-5.0,-3.0,5.0,22.0,-2.0,-2.0,0.0,2.0,1.0,-3.0,-4.0,-21.0,-7.0,3.0,-2.0,0.0,2.0,1.0,-9.0,-18.0,-6.0,-11.0,1.0,-2.0,-1.0,-6.0,-20.0,-84.0,-14.0,9.0,6.0,4.0,6.0,11.0,24.0,104.0,18.0,-2.0,5.0,-1.0,-2.0,0.0,-5.0,7.0,1.0,0.0,0.0,-6.0,-2.0,1.0,41.0,49.0,0.0,20.0,3
742,-12.0,-4.0,-3.0,-3.0,-1.0,-11.0,6.0,24.0,5.0,-2.0,1.0,7.0,14.0,17.0,-1.0,2.0,17.0,0.0,-1.0,-6.0,-15.0,-29.0,0.0,11.0,-25.0,-1.0,-1.0,3.0,2.0,2.0,10.0,-12.0,26.0,1.0,-3.0,-1.0,-3.0,61.0,1.0,-9.0,-13.0,0.0,-1.0,-2.0,0.0,-32.0,4.0,19.0,11.0,5.0,4.0,2.0,10.0,1.0,-12.0,2.0,-4.0,-7.0,-6.0,-5.0,-11.0,6.0,10.0,2.0,3
2395,4.0,2.0,1.0,1.0,4.0,28.0,11.0,9.0,-1.0,3.0,2.0,3.0,5.0,1.0,-4.0,-27.0,-8.0,-5.0,-3.0,-1.0,-2.0,-5.0,8.0,23.0,5.0,-2.0,0.0,0.0,-24.0,-40.0,-6.0,-9.0,-9.0,-1.0,-2.0,-1.0,13.0,29.0,-3.0,-4.0,2.0,3.0,-1.0,3.0,24.0,32.0,6.0,8.0,2.0,-1.0,1.0,0.0,-43.0,-44.0,-1.0,-8.0,-11.0,-1.0,-2.0,0.0,12.0,24.0,4.0,-11.0,3
167,-16.0,-6.0,-5.0,-9.0,1.0,22.0,-6.0,-9.0,-23.0,0.0,0.0,-1.0,2.0,2.0,-6.0,-22.0,-6.0,-4.0,-5.0,1.0,21.0,29.0,-2.0,-2.0,5.0,1.0,3.0,2.0,-29.0,-39.0,6.0,17.0,2.0,1.0,-2.0,3.0,10.0,2.0,-2.0,2.0,1.0,-4.0,-3.0,-4.0,-4.0,-25.0,-11.0,-6.0,-11.0,-4.0,-3.0,-1.0,23.0,8.0,-7.0,-8.0,-10.0,-1.0,-1.0,0.0,-36.0,-49.0,10.0,11.0,3
2327,-9.0,-2.0,-3.0,-3.0,22.0,67.0,1.0,-15.0,10.0,4.0,2.0,3.0,-21.0,-46.0,-1.0,-5.0,-2.0,-5.0,-5.0,-3.0,6.0,-1.0,1.0,-8.0,0.0,-1.0,-4.0,0.0,9.0,-31.0,-12.0,1.0,-2.0,-3.0,-2.0,2.0,20.0,33.0,6.0,-5.0,5.0,-3.0,-3.0,-5.0,23.0,12.0,-4.0,2.0,1.0,5.0,6.0,6.0,-52.0,-5.0,1.0,-2.0,-1.0,-2.0,-1.0,-7.0,-4.0,-29.0,4.0,1.0,3
2776,-6.0,-3.0,-1.0,-3.0,13.0,8.0,-8.0,-8.0,2.0,-3.0,0.0,1.0,-12.0,5.0,7.0,3.0,1.0,0.0,-2.0,-5.0,1.0,-39.0,-7.0,3.0,-3.0,0.0,-1.0,0.0,-1.0,6.0,1.0,-5.0,3.0,-2.0,-1.0,0.0,-8.0,13.0,3.0,6.0,-7.0,7.0,7.0,7.0,-6.0,-7.0,7.0,-5.0,-5.0,1.0,-1.0,-1.0,-2.0,10.0,-3.0,-3.0,2.0,-3.0,-5.0,-4.0,0.0,-14.0,-4.0,-1.0,3
1386,0.0,-3.0,-2.0,-1.0,-1.0,5.0,4.0,6.0,14.0,3.0,3.0,6.0,2.0,-11.0,20.0,4.0,7.0,1.0,3.0,-1.0,-22.0,7.0,-6.0,-4.0,12.0,6.0,-1.0,5.0,5.0,20.0,12.0,23.0,-17.0,2.0,-2.0,-4.0,20.0,54.0,5.0,-15.0,-15.0,3.0,2.0,13.0,-2.0,-2.0,-22.0,-11.0,38.0,2.0,-4.0,-15.0,1.0,-30.0,-2.0,11.0,-5.0,-6.0,-8.0,-8.0,-18.0,-23.0,-7.0,-18.0,3
859,13.0,13.0,1.0,0.0,-16.0,-13.0,6.0,33.0,-10.0,-28.0,-6.0,9.0,17.0,-5.0,-42.0,3.0,-3.0,1.0,-4.0,-8.0,-10.0,39.0,9.0,-39.0,17.0,3.0,8.0,5.0,22.0,-60.0,-18.0,-6.0,-6.0,-2.0,-5.0,-7.0,-24.0,-64.0,1.0,1.0,-9.0,4.0,13.0,41.0,-17.0,-16.0,16.0,-3.0,18.0,4.0,-8.0,-38.0,19.0,64.0,13.0,39.0,-26.0,-12.0,-4.0,-1.0,-6.0,-23.0,-11.0,-4.0,3
2190,4.0,-5.0,-4.0,-5.0,-3.0,3.0,2.0,19.0,5.0,-3.0,-3.0,1.0,20.0,24.0,5.0,44.0,1.0,0.0,5.0,6.0,-9.0,24.0,3.0,2.0,-10.0,-2.0,1.0,2.0,-12.0,-23.0,2.0,2.0,1.0,0.0,0.0,-3.0,-7.0,-10.0,-2.0,-12.0,0.0,-4.0,-5.0,-2.0,7.0,-2.0,-8.0,-7.0,6.0,1.0,-2.0,-4.0,-9.0,-14.0,-2.0,-4.0,-6.0,-1.0,-3.0,-3.0,17.0,16.0,1.0,-1.0,3
