,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
183,21.0,0.0,1.0,-2.0,-7.0,-7.0,1.0,3.0,-11.0,-9.0,-9.0,-11.0,28.0,21.0,2.0,-5.0,-7.0,1.0,3.0,2.0,-22.0,8.0,7.0,26.0,-17.0,2.0,-1.0,1.0,10.0,-18.0,-1.0,-1.0,11.0,16.0,-4.0,-4.0,24.0,26.0,1.0,-6.0,-7.0,-19.0,-1.0,1.0,-33.0,-31.0,-1.0,2.0,2.0,-4.0,-2.0,-3.0,-19.0,0.0,-5.0,-7.0,-23.0,-5.0,-4.0,-2.0,6.0,25.0,0.0,-3.0,1
226,3.0,0.0,0.0,1.0,12.0,13.0,8.0,4.0,-4.0,2.0,-4.0,-1.0,62.0,44.0,-13.0,-7.0,-12.0,-8.0,6.0,5.0,-71.0,-53.0,-2.0,-2.0,-10.0,-1.0,0.0,-5.0,-14.0,-26.0,-5.0,3.0,12.0,1.0,3.0,0.0,-1.0,1.0,-3.0,-3.0,2.0,-4.0,-2.0,-2.0,12.0,-3.0,4.0,-4.0,-19.0,-5.0,-6.0,-4.0,25.0,52.0,4.0,16.0,-2.0,7.0,3.0,5.0,-74.0,-58.0,-3.0,3.0,1
2055,8.0,-3.0,-5.0,-5.0,-11.0,10.0,1.0,6.0,-13.0,-2.0,0.0,2.0,36.0,27.0,1.0,-4.0,-2.0,-5.0,-3.0,-10.0,-42.0,-18.0,-5.0,-5.0,-17.0,0.0,7.0,16.0,19.0,-2.0,9.0,1.0,14.0,2.0,0.0,-1.0,-24.0,-2.0,0.0,-1.0,13.0,0.0,0.0,2.0,10.0,-13.0,-1.0,4.0,0.0,2.0,3.0,7.0,47.0,15.0,1.0,4.0,-7.0,-2.0,-1.0,-2.0,-20.0,-46.0,-8.0,-6.0,1
1369,-22.0,-6.0,-6.0,-10.0,-46.0,-8.0,6.0,4.0,6.0,-3.0,5.0,12.0,41.0,-3.0,-4.0,-23.0,-26.0,-1.0,0.0,3.0,-50.0,-20.0,9.0,30.0,61.0,5.0,-6.0,-5.0,11.0,2.0,0.0,8.0,2.0,0.0,-1.0,-2.0,1.0,14.0,0.0,0.0,-3.0,0.0,-3.0,-2.0,42.0,-3.0,-2.0,-4.0,-8.0,-1.0,2.0,3.0,-5.0,6.0,-1.0,-9.0,-1.0,3.0,1.0,1.0,0.0,-8.0,-1.0,2.0,1
255,-1.0,-4.0,-8.0,-10.0,20.0,49.0,1.0,-6.0,-6.0,-6.0,-2.0,-2.0,7.0,32.0,-4.0,-13.0,-5.0,2.0,2.0,0.0,-33.0,-21.0,-3.0,3.0,-4.0,-2.0,2.0,3.0,-29.0,-24.0,9.0,7.0,2.0,-2.0,0.0,2.0,22.0,8.0,-4.0,-6.0,-2.0,-4.0,-4.0,-5.0,28.0,22.0,-1.0,-5.0,-2.0,3.0,2.0,3.0,-20.0,1.0,-3.0,6.0,8.0,-4.0,-7.0,-7.0,-3.0,8.0,0.0,0.0,1
1224,-7.0,-2.0,0.0,1.0,10.0,-7.0,-4.0,-22.0,2.0,-4.0,-8.0,-5.0,22.0,47.0,2.0,13.0,-2.0,3.0,1.0,2.0,-19.0,-17.0,1.0,3.0,-19.0,-5.0,-5.0,-4.0,21.0,17.0,-1.0,-6.0,0.0,-1.0,1.0,3.0,-44.0,-35.0,0.0,-3.0,11.0,1.0,2.0,0.0,9.0,2.0,3.0,-7.0,8.0,2.0,3.0,2.0,3.0,-9.0,9.0,7.0,-23.0,-3.0,1.0,-1.0,-20.0,-8.0,0.0,-18.0,1
759,4.0,-1.0,-2.0,-3.0,-16.0,-6.0,-3.0,0.0,-8.0,2.0,-2.0,-2.0,-13.0,-15.0,-2.0,-16.0,-1.0,-3.0,-1.0,-1.0,9.0,3.0,-2.0,-9.0,-12.0,-2.0,2.0,1.0,-14.0,4.0,6.0,9.0,18.0,4.0,0.0,-2.0,11.0,-4.0,-2.0,1.0,0.0,-2.0,0.0,-2.0,-4.0,-12.0,1.0,10.0,5.0,2.0,-2.0,-5.0,19.0,31.0,0.0,-9.0,-4.0,-6.0,-2.0,-3.0,25.0,28.0,-3.0,-2.0,1
2469,-12.0,1.0,1.0,-1.0,3.0,14.0,-2.0,-3.0,-13.0,-5.0,-2.0,0.0,-3.0,-1.0,-2.0,-4.0,-16.0,-3.0,2.0,0.0,-8.0,0.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,-4.0,-2.0,-3.0,-5.0,-2.0,-4.0,-4.0,5.0,2.0,0.0,-1.0,12.0,0.0,-4.0,-2.0,-10.0,-3.0,-3.0,5.0,-13.0,1.0,-1.0,1.0,25.0,21.0,2.0,-2.0,7.0,8.0,1.0,1.0,-14.0,-32.0,2.0,2.0,1
684,-10.0,0.0,2.0,6.0,-9.0,-43.0,-2.0,-2.0,1.0,-1.0,1.0,2.0,-15.0,-8.0,0.0,-2.0,-11.0,-2.0,-4.0,-4.0,24.0,31.0,-2.0,-2.0,20.0,12.0,1.0,1.0,-24.0,-24.0,0.0,-6.0,-4.0,-18.0,-2.0,-2.0,3.0,1.0,1.0,8.0,2.0,-1.0,-3.0,-1.0,47.0,33.0,0.0,-3.0,-3.0,5.0,5.0,2.0,-51.0,-36.0,1.0,3.0,6.0,-1.0,-3.0,-1.0,30.0,41.0,1.0,7.0,1
1327,-2.0,1.0,6.0,7.0,-58.0,-35.0,1.0,-3.0,-15.0,-2.0,-1.0,-3.0,-7.0,-13.0,-3.0,-3.0,2.0,0.0,-2.0,-2.0,-2.0,19.0,-1.0,-10.0,-1.0,-1.0,0.0,1.0,37.0,-9.0,1.0,1.0,-1.0,-6.0,-6.0,-2.0,17.0,16.0,-4.0,0.0,-7.0,-1.0,-1.0,-1.0,14.0,14.0,0.0,-1.0,16.0,0.0,4.0,2.0,-18.0,-25.0,-5.0,-14.0,-12.0,3.0,-1.0,0.0,11.0,11.0,5.0,17.0,1
