,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
632,29.0,-17.0,4.0,1.0,-6.0,41.0,6.0,17.0,-7.0,-33.0,2.0,6.0,8.0,27.0,-4.0,-15.0,-5.0,-22.0,-2.0,-2.0,-6.0,-4.0,7.0,1.0,-3.0,-26.0,3.0,-3.0,9.0,4.0,6.0,11.0,-12.0,-5.0,-8.0,-7.0,-13.0,9.0,-5.0,-15.0,-1.0,23.0,9.0,0.0,-19.0,-25.0,-1.0,4.0,9.0,-19.0,-12.0,1.0,10.0,27.0,-11.0,-11.0,2.0,0.0,-4.0,-5.0,9.0,-13.0,-2.0,1.0,2
2791,-5.0,5.0,2.0,0.0,-10.0,-57.0,-9.0,-12.0,0.0,-10.0,0.0,-1.0,16.0,60.0,5.0,-3.0,-6.0,3.0,0.0,5.0,8.0,29.0,3.0,10.0,1.0,1.0,-3.0,-4.0,-15.0,-32.0,-5.0,4.0,-7.0,-1.0,-6.0,-11.0,-12.0,5.0,-2.0,-2.0,22.0,5.0,0.0,0.0,-2.0,-29.0,-4.0,4.0,-10.0,3.0,1.0,-7.0,-18.0,2.0,1.0,-6.0,0.0,-2.0,-3.0,0.0,27.0,-7.0,0.0,7.0,2
571,10.0,-7.0,-5.0,-3.0,12.0,40.0,0.0,4.0,-13.0,-17.0,0.0,-5.0,-18.0,-26.0,-3.0,9.0,50.0,45.0,13.0,5.0,-21.0,4.0,4.0,2.0,-38.0,3.0,1.0,1.0,30.0,-14.0,6.0,12.0,-4.0,-38.0,-6.0,4.0,8.0,26.0,-6.0,-10.0,-11.0,-9.0,-11.0,-8.0,-10.0,-44.0,-9.0,-12.0,-13.0,-1.0,5.0,3.0,22.0,35.0,4.0,-3.0,0.0,4.0,-1.0,-1.0,-2.0,32.0,2.0,-14.0,2
22,-1.0,-10.0,4.0,1.0,15.0,12.0,13.0,6.0,0.0,-8.0,-12.0,-5.0,-2.0,-4.0,-3.0,-8.0,-7.0,19.0,-2.0,-7.0,5.0,-19.0,12.0,-5.0,4.0,-4.0,-7.0,5.0,-5.0,36.0,-1.0,9.0,1.0,3.0,6.0,4.0,-8.0,-54.0,-23.0,-8.0,-1.0,13.0,-10.0,-7.0,8.0,20.0,18.0,-1.0,0.0,18.0,14.0,6.0,-28.0,-5.0,18.0,-1.0,2.0,-22.0,-9.0,-3.0,7.0,4.0,6.0,15.0,2
2566,-9.0,29.0,8.0,-3.0,8.0,-10.0,-2.0,2.0,17.0,5.0,-3.0,3.0,-35.0,-20.0,-1.0,3.0,-6.0,-13.0,2.0,4.0,2.0,-3.0,-9.0,2.0,-11.0,-12.0,-3.0,-4.0,11.0,-6.0,-1.0,-18.0,7.0,17.0,6.0,-3.0,-31.0,12.0,3.0,23.0,-5.0,-3.0,-9.0,-5.0,22.0,34.0,6.0,2.0,-14.0,19.0,-2.0,5.0,-17.0,-37.0,-1.0,14.0,-3.0,-18.0,-1.0,-4.0,-16.0,-3.0,-2.0,1.0,2
553,19.0,16.0,1.0,-5.0,-29.0,-33.0,-4.0,-4.0,-2.0,-2.0,-4.0,2.0,27.0,25.0,-3.0,11.0,-8.0,-10.0,-3.0,5.0,13.0,9.0,-4.0,-21.0,-2.0,13.0,-2.0,2.0,-15.0,-8.0,1.0,-18.0,0.0,-1.0,5.0,2.0,-1.0,41.0,7.0,9.0,-13.0,-18.0,-8.0,-8.0,-1.0,-40.0,-10.0,-30.0,-5.0,-9.0,2.0,5.0,-7.0,-7.0,-3.0,-10.0,2.0,17.0,1.0,2.0,16.0,16.0,1.0,23.0,2
1990,9.0,16.0,-17.0,-5.0,-7.0,-9.0,-2.0,-25.0,-14.0,-13.0,3.0,4.0,-1.0,-20.0,-9.0,-5.0,-14.0,-25.0,-6.0,-3.0,10.0,17.0,-10.0,-25.0,6.0,0.0,5.0,1.0,-1.0,-19.0,2.0,4.0,18.0,-4.0,-1.0,4.0,0.0,12.0,1.0,12.0,2.0,15.0,2.0,-10.0,0.0,27.0,4.0,-4.0,1.0,4.0,-4.0,4.0,3.0,-28.0,-7.0,5.0,2.0,0.0,2.0,2.0,-7.0,13.0,-2.0,-14.0,2
1638,-6.0,6.0,-1.0,-6.0,-11.0,-12.0,-3.0,-16.0,8.0,-5.0,-2.0,-2.0,24.0,-23.0,-7.0,1.0,-5.0,-31.0,-8.0,-4.0,-11.0,3.0,-3.0,9.0,-8.0,11.0,4.0,2.0,-8.0,11.0,4.0,-4.0,4.0,12.0,3.0,1.0,13.0,8.0,7.0,11.0,19.0,-20.0,-7.0,-8.0,-60.0,2.0,-2.0,-6.0,-1.0,10.0,6.0,4.0,-4.0,-38.0,3.0,-5.0,-14.0,14.0,1.0,0.0,19.0,-7.0,-7.0,19.0,2
1728,-1.0,25.0,7.0,6.0,50.0,-51.0,-7.0,-4.0,30.0,29.0,-4.0,5.0,14.0,0.0,4.0,24.0,-7.0,-3.0,13.0,10.0,-34.0,15.0,11.0,11.0,-11.0,-45.0,2.0,6.0,-6.0,17.0,-9.0,-13.0,5.0,-20.0,-5.0,-21.0,32.0,21.0,-1.0,-12.0,-17.0,-31.0,-9.0,5.0,25.0,1.0,-8.0,-16.0,-4.0,5.0,-3.0,-4.0,5.0,-1.0,-4.0,-2.0,-1.0,17.0,-5.0,-5.0,-1.0,-9.0,7.0,1.0,2
1082,10.0,2.0,8.0,-2.0,-10.0,-31.0,14.0,-8.0,46.0,14.0,9.0,18.0,38.0,79.0,13.0,-12.0,-80.0,2.0,-7.0,-6.0,2.0,8.0,-5.0,8.0,22.0,4.0,-5.0,-8.0,14.0,41.0,-1.0,-13.0,-4.0,-8.0,2.0,9.0,0.0,-49.0,-12.0,20.0,-10.0,-25.0,-2.0,-6.0,-6.0,-27.0,0.0,2.0,-20.0,0.0,-7.0,-15.0,36.0,-4.0,-4.0,-8.0,1.0,46.0,9.0,12.0,-23.0,29.0,5.0,13.0,2
